15.09.2016 07:00:01 - 5.9.102.136; /tools/export/?client=12xLady
15.09.2016 07:00:05 - 5.9.102.136; OK
15.09.2016 09:00:02 - 5.9.102.136; /tools/export/?client=12xLady
15.09.2016 09:00:06 - 5.9.102.136; OK
15.09.2016 11:00:02 - 5.9.102.136; /tools/export/?client=12xLady
15.09.2016 11:00:07 - 5.9.102.136; OK
15.09.2016 13:00:01 - 5.9.102.136; /tools/export/?client=12xLady
15.09.2016 13:00:04 - 5.9.102.136; OK
15.09.2016 15:00:02 - 5.9.102.136; /tools/export/?client=12xLady
15.09.2016 15:00:05 - 5.9.102.136; OK
15.09.2016 17:00:02 - 5.9.102.136; /tools/export/?client=12xLady
15.09.2016 17:00:07 - 5.9.102.136; OK
15.09.2016 19:00:01 - 5.9.102.136; /tools/export/?client=12xLady
15.09.2016 19:00:06 - 5.9.102.136; OK
15.09.2016 21:00:01 - 5.9.102.136; /tools/export/?client=12xLady
15.09.2016 21:00:04 - 5.9.102.136; OK
15.09.2016 23:00:02 - 5.9.102.136; /tools/export/?client=12xLady
15.09.2016 23:00:05 - 5.9.102.136; OK
16.09.2016 01:00:03 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 01:00:06 - 5.9.102.136; OK
16.09.2016 03:00:02 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 03:00:05 - 5.9.102.136; OK
16.09.2016 05:00:02 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 05:00:05 - 5.9.102.136; OK
16.09.2016 07:00:02 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 07:00:05 - 5.9.102.136; OK
16.09.2016 09:00:02 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 09:00:05 - 5.9.102.136; OK
16.09.2016 11:00:02 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 11:00:06 - 5.9.102.136; OK
16.09.2016 13:00:02 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 13:00:06 - 5.9.102.136; OK
16.09.2016 15:00:01 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 15:00:04 - 5.9.102.136; OK
16.09.2016 17:00:02 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 17:00:05 - 5.9.102.136; OK
16.09.2016 19:00:02 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 19:00:06 - 5.9.102.136; OK
16.09.2016 21:00:02 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 21:00:07 - 5.9.102.136; OK
16.09.2016 23:00:02 - 5.9.102.136; /tools/export/?client=12xLady
16.09.2016 23:00:05 - 5.9.102.136; OK
17.09.2016 01:00:02 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 01:00:06 - 5.9.102.136; OK
17.09.2016 03:00:02 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 03:00:05 - 5.9.102.136; OK
17.09.2016 05:00:02 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 05:00:05 - 5.9.102.136; OK
17.09.2016 07:00:02 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 07:00:05 - 5.9.102.136; OK
17.09.2016 09:00:02 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 09:00:05 - 5.9.102.136; OK
17.09.2016 11:00:01 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 11:00:04 - 5.9.102.136; OK
17.09.2016 13:00:02 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 13:00:06 - 5.9.102.136; OK
17.09.2016 15:00:02 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 15:00:07 - 5.9.102.136; OK
17.09.2016 17:00:02 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 17:00:05 - 5.9.102.136; OK
17.09.2016 19:00:02 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 19:00:05 - 5.9.102.136; OK
17.09.2016 21:00:02 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 21:00:07 - 5.9.102.136; OK
17.09.2016 23:00:06 - 5.9.102.136; /tools/export/?client=12xLady
17.09.2016 23:00:10 - 5.9.102.136; OK
18.09.2016 01:00:03 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 01:00:06 - 5.9.102.136; OK
18.09.2016 03:00:02 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 03:00:05 - 5.9.102.136; OK
18.09.2016 05:00:01 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 05:00:05 - 5.9.102.136; OK
18.09.2016 07:00:02 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 07:00:06 - 5.9.102.136; OK
18.09.2016 09:00:02 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 09:00:05 - 5.9.102.136; OK
18.09.2016 11:00:02 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 11:00:05 - 5.9.102.136; OK
18.09.2016 13:00:02 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 13:00:06 - 5.9.102.136; OK
18.09.2016 15:00:02 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 15:00:05 - 5.9.102.136; OK
18.09.2016 17:00:01 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 17:00:05 - 5.9.102.136; OK
18.09.2016 19:00:02 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 19:00:05 - 5.9.102.136; OK
18.09.2016 21:00:02 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 21:00:06 - 5.9.102.136; OK
18.09.2016 23:00:02 - 5.9.102.136; /tools/export/?client=12xLady
18.09.2016 23:00:05 - 5.9.102.136; OK
19.09.2016 01:00:02 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 01:00:05 - 5.9.102.136; OK
19.09.2016 03:00:03 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 03:00:05 - 5.9.102.136; OK
19.09.2016 05:00:02 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 05:00:04 - 5.9.102.136; OK
19.09.2016 07:00:02 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 07:00:05 - 5.9.102.136; OK
19.09.2016 09:00:02 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 09:00:07 - 5.9.102.136; OK
19.09.2016 11:00:01 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 11:00:06 - 5.9.102.136; OK
19.09.2016 13:00:07 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 13:00:10 - 5.9.102.136; OK
19.09.2016 15:00:02 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 15:00:06 - 5.9.102.136; OK
19.09.2016 17:00:02 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 17:00:08 - 5.9.102.136; OK
19.09.2016 19:00:01 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 19:00:05 - 5.9.102.136; OK
19.09.2016 21:00:01 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 21:00:08 - 5.9.102.136; OK
19.09.2016 23:00:02 - 5.9.102.136; /tools/export/?client=12xLady
19.09.2016 23:00:05 - 5.9.102.136; OK
20.09.2016 01:00:03 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 01:00:06 - 5.9.102.136; OK
20.09.2016 03:00:02 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 03:00:06 - 5.9.102.136; OK
20.09.2016 05:00:02 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 05:00:05 - 5.9.102.136; OK
20.09.2016 07:00:02 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 07:00:05 - 5.9.102.136; OK
20.09.2016 09:00:02 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 09:00:06 - 5.9.102.136; OK
20.09.2016 11:00:02 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 11:00:06 - 5.9.102.136; OK
20.09.2016 13:00:01 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 13:00:06 - 5.9.102.136; OK
20.09.2016 15:00:01 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 15:00:04 - 5.9.102.136; OK
20.09.2016 17:00:02 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 17:00:05 - 5.9.102.136; OK
20.09.2016 19:00:02 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 19:00:08 - 5.9.102.136; OK
20.09.2016 21:00:02 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 21:00:05 - 5.9.102.136; OK
20.09.2016 23:00:01 - 5.9.102.136; /tools/export/?client=12xLady
20.09.2016 23:00:04 - 5.9.102.136; OK
21.09.2016 01:00:02 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 01:00:05 - 5.9.102.136; OK
21.09.2016 03:00:02 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 03:00:05 - 5.9.102.136; OK
21.09.2016 05:00:01 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 05:00:04 - 5.9.102.136; OK
21.09.2016 07:00:02 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 07:00:05 - 5.9.102.136; OK
21.09.2016 09:00:02 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 09:00:06 - 5.9.102.136; OK
21.09.2016 11:00:02 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 11:00:06 - 5.9.102.136; OK
21.09.2016 13:00:01 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 13:00:05 - 5.9.102.136; OK
21.09.2016 15:00:02 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 15:00:08 - 5.9.102.136; OK
21.09.2016 17:00:01 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 17:00:04 - 5.9.102.136; OK
21.09.2016 19:00:01 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 19:00:05 - 5.9.102.136; OK
21.09.2016 21:00:01 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 21:00:07 - 5.9.102.136; OK
21.09.2016 23:00:01 - 5.9.102.136; /tools/export/?client=12xLady
21.09.2016 23:00:05 - 5.9.102.136; OK
22.09.2016 01:00:03 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 01:00:06 - 5.9.102.136; OK
22.09.2016 03:00:03 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 03:00:06 - 5.9.102.136; OK
22.09.2016 05:00:02 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 05:00:05 - 5.9.102.136; OK
22.09.2016 07:00:02 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 07:00:05 - 5.9.102.136; OK
22.09.2016 09:00:02 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 09:00:05 - 5.9.102.136; OK
22.09.2016 11:00:02 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 11:00:06 - 5.9.102.136; OK
22.09.2016 13:00:02 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 13:00:05 - 5.9.102.136; OK
22.09.2016 15:00:01 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 15:00:07 - 5.9.102.136; OK
22.09.2016 17:00:02 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 17:00:06 - 5.9.102.136; OK
22.09.2016 19:00:01 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 19:00:04 - 5.9.102.136; OK
22.09.2016 21:00:02 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 21:00:05 - 5.9.102.136; OK
22.09.2016 23:00:02 - 5.9.102.136; /tools/export/?client=12xLady
22.09.2016 23:00:04 - 5.9.102.136; OK
23.09.2016 01:00:08 - 5.9.102.136; /tools/export/?client=12xLady
23.09.2016 01:00:12 - 5.9.102.136; OK
23.09.2016 03:00:03 - 5.9.102.136; /tools/export/?client=12xLady
23.09.2016 03:00:05 - 5.9.102.136; OK
23.09.2016 05:00:02 - 5.9.102.136; /tools/export/?client=12xLady
23.09.2016 05:00:05 - 5.9.102.136; OK
23.09.2016 07:00:02 - 5.9.102.136; /tools/export/?client=12xLady
23.09.2016 07:00:05 - 5.9.102.136; OK
23.09.2016 09:00:02 - 5.9.102.136; /tools/export/?client=12xLady
23.09.2016 09:00:05 - 5.9.102.136; OK
23.09.2016 11:00:02 - 5.9.102.136; /tools/export/?client=12xLady
23.09.2016 11:00:05 - 5.9.102.136; OK
23.09.2016 13:00:02 - 5.9.102.136; /tools/export/?client=12xLady
23.09.2016 13:00:09 - 5.9.102.136; OK
23.09.2016 15:00:02 - 5.9.102.136; /tools/export/?client=12xLady
23.09.2016 15:00:06 - 5.9.102.136; OK
23.09.2016 17:00:02 - 5.9.102.136; /tools/export/?client=12xLady
23.09.2016 17:00:06 - 5.9.102.136; OK
23.09.2016 17:33:01 - 5.9.102.136; /tools/export/?client=12xLady
23.09.2016 17:33:04 - 5.9.102.136; OK
23.09.2016 19:00:02 - 5.9.102.136; /tools/export/?client=12xLady
